what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1286207228556
executed,command,org.eclipse.debug.ui,3.6.0.v20100601-1530,"org.eclipse.debug.ui.commands.RunLast",1286207230823
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1286207233885
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1286207234955
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1286207236034
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1286207236465
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1286207236875
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1286207237976
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1286207238472
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1286207239397
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1286207239799
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1286207240728
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1286207242162
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1286207255617
closed,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1286207256556
stopped,bundle,org.eclipse.mylyn.ide.ant,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.ide.ant",1286207256988
stopped,bundle,org.eclipse.ant.ui,3.5.0.v20100427,"org.eclipse.ant.ui",1286207257020
stopped,bundle,org.eclipse.ant.launching,1.0.0.v20100427,"org.eclipse.ant.launching",1286207257022
activated,perspective,org.eclipse.jdt.ui,,"org.eclipse.jdt.ui.JavaPerspective",1286207271458
started,bundle,org.eclipse.osgi,3.6.0.v20100517,"org.eclipse.osgi",1286207271459
started,bundle,org.eclipse.equinox.simpleconfigurator,1.0.200.v20100503,"org.eclipse.equinox.simpleconfigurator",1286207271460
started,bundle,com.ibm.icu,4.2.1.v20100412,"com.ibm.icu",1286207271460
started,bundle,org.eclipse.compare.core,3.5.100.I20100526-0800,"org.eclipse.compare.core",1286207271460
started,bundle,org.eclipse.core.contenttype,3.4.100.v20100505-1235,"org.eclipse.core.contenttype",1286207271461
started,bundle,org.eclipse.core.databinding.observable,1.3.0.I20100601-0800,"org.eclipse.core.databinding.observable",1286207271461
started,bundle,org.eclipse.core.expressions,3.4.200.v20100505,"org.eclipse.core.expressions",1286207271462
started,bundle,org.eclipse.core.filebuffers,3.5.100.v20100520-0800,"org.eclipse.core.filebuffers",1286207271462
started,bundle,org.eclipse.core.filesystem,1.3.0.v20100526-0737,"org.eclipse.core.filesystem",1286207271463
started,bundle,org.eclipse.core.jobs,3.5.0.v20100515,"org.eclipse.core.jobs",1286207271463
started,bundle,org.eclipse.core.net,1.2.100.I20100511-0800,"org.eclipse.core.net",1286207271464
started,bundle,org.eclipse.core.resources,3.6.0.v20100526-0737,"org.eclipse.core.resources",1286207271465
started,bundle,org.eclipse.core.runtime,3.6.0.v20100505,"org.eclipse.core.runtime",1286207271465
started,bundle,org.eclipse.core.runtime.compatibility,3.2.100.v20100505,"org.eclipse.core.runtime.compatibility",1286207271465
started,bundle,org.eclipse.core.runtime.compatibility.auth,3.2.200.v20100517,"org.eclipse.core.runtime.compatibility.auth",1286207271466
started,bundle,org.eclipse.core.variables,3.2.400.v20100505,"org.eclipse.core.variables",1286207271467
